data2;HICP;EUR_PLN;WIBOR 3M;stopa_referencyjna;dummy;CPI;HICP;USD_PLN;inflacja bazowa;EUR 3M
01/01/2004;76,8;4,7989;5,46;5,25;0;1,6;1,9;3,74;0,8;2,0895
01/02/2004;76,9;4,8888;5,5;5,25;0;1,6;1,9;3,8457;0,7;2,0706
01/03/2004;77,1;4,7533;5,49;5,25;0;1,7;1,7;3,9202;0,7;2,0288
01/04/2004;77,7;4,8104;5,85;5,25;0;2,2;2,4;3,8637;0,8;2,0488
01/05/2004;78,5;4,6478;6;5,25;0;3,4;3,4;4,03;1,7;2,0859
01/06/2004;79,1;4,4973;6,05;5,25;0;4,4;4,4;3,8031;1,9;2,1127
01/07/2004;79;4,375;6,41;6;0;4,6;4,8;3,6977;2,2;2,116
01/08/2004;78,8;4,4463;7;6,5;0;4,6;4,9;3,6407;2,2;2,1143
01/09/2004;79;4,358;6,91;6,5;0;4,4;4,6;3,6529;2,3;2,1186
01/10/2004;79,5;4,3138;6,84;6,5;0;4,5;4,7;3,5093;2,4;2,1473
01/11/2004;79,7;4,1838;6,77;6,5;0;4,5;4,6;3,3824;2,4;2,1703
01/12/2004;79,7;4,0736;6,64;6,5;0;4,4;4,3;3,1427;2,4;2,1732
01/01/2005;79,7;4,0566;6,61;6,5;0;3,7;3,8;3,0155;2,1;2,1454
01/02/2005;79,7;3,8971;6,31;6,5;0;3,6;3,6;3,1107;2,1;2,1384
01/03/2005;79,7;4,0779;5,91;6;0;3,4;3,4;2,9488;2,1;2,1372
01/04/2005;80,1;4,2759;5,59;5,5;0;3;3,1;3,1491;2,1;2,1372
01/05/2005;80,3;4,1512;5,44;5,5;0;2,5;2,3;3,3253;1,2;2,1256
01/06/2005;80,2;4,0434;4,9;5;0;1,4;1,4;3,3793;1,1;2,111
01/07/2005;80,2;4,0624;4,67;4,75;0;1,3;1,5;3,351;1;2,1194
01/08/2005;80,2;4,0215;4,61;4,75;0;1,6;1,8;3,3415;0,9;2,1325
01/09/2005;80,5;3,9131;4,5;4,5;0;1,8;1,9;3,25;0,8;2,1391
01/10/2005;80,7;3,9648;4,62;4,5;0;1,6;1,5;3,2698;0,7;2,1966
